scenario,year
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_18375.yaml,42
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_19031.yaml,31
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_19132.yaml,36
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_20759.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_21108.yaml,43
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_25940.yaml,39
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_26101.yaml,41
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_26625.yaml,34
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_27451.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_27718.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_30854.yaml,32
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_32260.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_32292.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_33232.yaml,37
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_33533.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_34119.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_34359.yaml,40
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_35664.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_35709.yaml,42
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_37785.yaml,32
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_38889.yaml,38
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_39827.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_39955.yaml,30
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_40128.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_41810.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_42928.yaml,30
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_43545.yaml,31
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_43939.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_45631.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_45725.yaml,42
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_45759.yaml,31
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_46290.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_47056.yaml,37
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_48199.yaml,43
docs/20200425 abc_example/slice3/scenarios/smoothoperator_557967/scenario_49828.yaml,44
docs/20200425 abc_example/slice3/scenarios/smoothoperator_681482/scenario_26.yaml,43
docs/20200425 abc_example/slice3/scenarios/smoothoperator_681482/scenario_2847.yaml,40
